genres,keywords,original_language,original_title,korean_title,kr_rating,popularity,production_countries,release_date,spoken_languages,vote_average,vote_count
"['Family', 'Comedy']","['based on novel or book', 'big family', 'remake', 'large family']",en,Cheaper by the Dozen,열두 명의 웬수들,12,29.312,['United States of America'],2022-03-18,['English'],6.4,240
"['Comedy', 'Romance']","['coming out', 'new york city', 'single parent', 'homophobia', 'fraud', 'single', 'gay marriage', 'insurance policy', 'firefighter', 'masculinity', 'pretend relationship', 'pretending to be gay', 'gay theme', 'fire department']",en,I Now Pronounce You Chuck & Larry,척 앤 래리,15,27.944,['United States of America'],2007-07-12,['English'],6.035,2248
"['Animation', 'Family', 'Science Fiction', 'Fantasy', 'Adventure']","['gadget', 'time travel', 'school', 'based on manga', 'anime', 'based on anime']",ja,STAND BY ME ドラえもん,도라에몽: 스탠바이미,전체 관람가,55.032,['Japan'],2014-08-08,['日本語'],7.297,511
"['Crime', 'Action', 'Mystery', 'Thriller']","['kitsch', 'comic book', 'master thief', 'based on comic', 'sensuality', 'gentleman thief', 'monochrome noir', 'diabolik']",it,Diabolik,디아볼릭,,31.72,['Italy'],2021-12-16,"['Français', 'Italiano']",6.051,561
"['Romance', 'Comedy', 'Drama']","['countryside', 'based on novel or book', 'picnic', 'matchmaking', '19th century']",en,Emma,엠마,15,37.213,['United States of America'],1996-08-02,['English'],6.67,573
"['Family', 'Drama', 'Adventure']","['pilot', 'polar bear', 'poacher', 'alaska', 'airplane crash', 'missing parent']",en,Alaska,알래스카,,22.119,['Canada'],1996-08-14,['English'],5.8,127
"['Drama', 'History']","['biography', 'duringcreditsstinger']",de,Corsage,코르사주,15,31.212,"['Austria', 'France', 'Germany', 'Luxembourg']",2022-07-07,"['English', 'Français', 'Deutsch', 'Magyar', 'Italiano']",6.298,183
"['Drama', 'History']","['epic', 'christianity', 'crucifixion', 'bible', 'biography', '1st century', 'jesus christ', 'christian film']",en,King of Kings,왕중왕,,24.272,['United States of America'],1961-10-11,['English'],7.128,192
"['Drama', 'Science Fiction']","['future', 'progress', 'black and white', 'scientist']",en,Things to Come,다가올 세상,,45.746,['United Kingdom'],1936-03-31,['English'],6.4,181
"['Horror', 'Thriller', 'Mystery']","['high school', 'police', 'blackmail', 'fisherman', 'cover-up', 'friends', 'revenge', 'murder', 'pageant', 'slasher', 'killer']",en,I Know What You Did Last Summer,나는 네가 지난 여름에 한 일을 알고 있다,,38.569,['United States of America'],1997-10-17,['English'],5.956,2665
"['Horror', 'Mystery', 'Thriller']","['island', 'competition', 'fisherman', 'bahamas', 'college', 'radio', 'knife', 'vacation', 'revenge', 'murder', 'marijuana', 'resort', 'slasher', 'storm', 'hook', 'killer']",en,I Still Know What You Did Last Summer,나는 아직도 네가 지난 여름에 한 일을 알고 있다,,30.423,['United States of America'],1998-11-13,['English'],5.344,1424
"['Horror', 'Comedy']","['farm', 'sheep', 'new zealand', 'animal horror', 'genetic mutation', 'genetic modification', 'genetic experiment']",en,Black Sheep,블랙 쉽,,34.562,"['New Zealand', 'South Korea']",2007-03-29,['English'],5.772,721
"['Action', 'Adventure', 'Science Fiction']","['venice, italy', 'superhero', 'school trip', 'europe', 'based on comic', 'sequel', 'destruction', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'tower of london']",en,Spider-Man: Far From Home,스파이더맨: 파 프롬 홈,12,109.378,['United States of America'],2019-06-28,"['Český', 'Nederlands', 'English', 'Deutsch', 'Italiano']",7.428,15208
"['Drama', 'Romance']","['based on novel or book', 'painting', 'butcher', 'painter', 'biography', 'holland', 'maid', 'earring', '17th century']",en,Girl with a Pearl Earring,진주 귀걸이를 한 소녀,15,24.119,"['France', 'Luxembourg', 'United Kingdom']",2003-12-12,['English'],6.602,1329
"['Drama', 'Horror', 'Mystery', 'Thriller']","['nightmare', 'funeral', 'wheelchair', 'injection', 'crying', 'casket', 'shovel', 'lily', 'argument', 'crucifix', 'woman director']",en,After.Life,애프터 라이프,,42.928,['United States of America'],2009-11-07,['English'],6.284,1074
"['Animation', 'Drama', 'Music', 'Romance']","['high school', 'anime', 'japanese high school']",ja,心が叫びたがってるんだ。,마음이 외치고 싶어해,,25.36,['Japan'],2015-09-19,['日本語'],7.6,384
"['Drama', 'Comedy', 'Family', 'Crime']","['dog', 'reboot', 'benji']",en,Benji,돌아온 벤지,ALL,29.244,"['United Arab Emirates', 'United States of America']",2018-03-16,['English'],6.91,288
"['War', 'Drama', 'History']","['dying and death', 'japan', 'world war ii', 'pacific', 'pacific war', 'iwo jima', 'aftercreditsstinger', 'duringcreditsstinger', '1940s']",en,Flags of Our Fathers,아버지의 깃발,15,22.426,['United States of America'],2006-10-18,['English'],6.855,1772
"['Western', 'Adventure']","['apache nation', 'native american']",de,Winnetou 1,,,25.225,"['Germany', 'Italy', 'Yugoslavia']",1963-12-11,['Deutsch'],6.852,145
"['Comedy', 'Science Fiction']","['earth', 'parody', 'interior of the earth', 'based on comic', 'porn parody', 'flash gordon', 'erotic movie', 'independent film']",en,Flesh Gordon,플레쉬 고든,,80.753,['United States of America'],1974-07-30,['English'],4.8,88
['Drama'],[],pt,O Filho do Homem,,,52.676,['Brazil'],2019-08-29,['Português'],0.0,0
"['Action', 'Adventure', 'Science Fiction']","['hero', 'secret identity', 'superhero', 'based on comic', 'superhuman', 'super power', 'aftercreditsstinger', 'butterfly effect', 'dc extended universe (dceu)', 'superhuman abilities', 'loss of mother', 'disrespectful']",en,The Flash,플래시,12,297.05,['United States of America'],2023-06-13,"['English', 'Español', 'Pусский']",6.733,3944
"['Drama', 'Romance']","['friends', 'sexual confusion']",en,Carnal Knowledge,애정과 욕망,,24.613,['United States of America'],1971-06-30,['English'],6.653,170
"['Action', 'Comedy', 'Horror']","['quarantine', 'police', 's.w.a.t.', 'scissors', 'office', 'cocaine', 'business consultant', 'outbreak', 'murder', 'zombie', 'drugs', 'fired from the job', 'virus']",en,Mayhem,메이헴,18,29.895,['United States of America'],2017-11-10,['English'],6.428,643
['Horror'],"['japan', 'samurai', 'jealousy', 'desertion', 'hold-up robbery', 'bamboo hut', 'survival', 'murder', 'demon', 'jidaigeki', 'sengoku period', '14th century']",ja,鬼婆,오니바바,,26.554,['Japan'],1964-11-21,['日本語'],7.7,387
"['Comedy', 'Mystery', 'Crime']","['based on novel or book', 'art theft', 'stolen painting', 'reboot', 'mischievous', 'playful', 'irreverent', 'casual', 'reminiscent', 'witty', 'enthusiastic', 'sardonic', 'wry']",en,"Confess, Fletch","컨페스, 플레치",,29.493,['United States of America'],2022-09-16,"['English', 'Italiano']",6.261,253
['Horror'],[],en,Where the Devil Roams,살인 유랑 가족,,81.548,['United States of America'],2023-07-27,['English'],5.3,18
"['Adventure', 'Action', 'Thriller']","['banker', 'casino', 'based on novel or book', 'poker', 'italy', 'money', 'torture', 'terrorism', 'mi6', 'british secret service', 'montenegro']",en,Casino Royale,007 카지노 로얄,15,56.321,"['United Kingdom', 'United States of America']",2006-11-14,"['English', 'Français']",7.556,10400
"['Family', 'Action']",['rescue'],en,The Sleepover,슬립오버,12,25.049,['United States of America'],2020-08-21,['English'],6.406,393
"['Drama', 'War']","['nazi', 'rocket']",en,Operation Crossbow,V2 3인의 첩보전,,19.262,['United Kingdom'],1965-04-01,"['English', 'Deutsch']",6.767,101
"['Comedy', 'Crime']","['police', 'undercover', 'parody', 'sexual humor', 'slapstick comedy', 'spoof', 'los angeles, california', 'terrorism', 'state prison', 'good versus evil', 'based on tv series']",en,Naked Gun 33⅓: The Final Insult,총알탄 사나이 3,15,29.981,['United States of America'],1994-03-18,['English'],6.473,1971
['Horror'],['haunted forest'],es,Jugaremos en el bosque,,,56.833,['Mexico'],2024-05-01,['Español'],0.0,0
"['Horror', 'Mystery', 'Thriller']","['high school', 'dancing', 'dance', 'revenge', 'murder', 'prom', 'serial killer', 'slasher', 'killer', 'disco', 'psycho', 'red herring']",en,Prom Night,졸업 파티,,38.258,['Canada'],1980-07-18,['English'],5.704,406
['Horror'],"['monster', 'prisoner', 'isolation', 'trauma', 'castle', 'sexual violence', 'remake', 'revenge', 'tragedy', 'murder', 'mansion', 'madness', 'disturbed child', 'framed for murder', 'blind woman']",en,Castle Freak,캐슬 프리크,,21.695,"['Albania', 'United States of America']",2020-12-04,['English'],4.4,61
"['Thriller', 'Drama', 'Crime', 'Action']",[],en,Wrong Place,롱 플레이스,15,28.675,['United States of America'],2022-07-15,['English'],4.444,72
"['Drama', 'Romance', 'Thriller']","['adultery', 'infidelity', 'husband wife relationship', 'love triangle', 'boat', 'new orleans, louisiana', 'louisiana', 'love', 'dysfunctional marriage', 'sexual attraction', 'extramarital affair', 'trophy wife']",en,Zandalee,애욕의 잔다리,,38.966,['United States of America'],1991-05-09,['English'],4.3,77
"['Adventure', 'Action', 'Thriller']","['mission', 'oil', 'mi6', 'heiress', 'bilbao, spain', 'british secret service']",en,The World Is Not Enough,007 언리미티드,12,37.189,"['United Kingdom', 'United States of America']",1999-11-17,"['English', 'Pусский']",6.266,2800
"['Horror', 'Action']","['martial arts', 'hero', 'vampire', 'superhero', 'supernatural', 'based on comic', 'rivalry', 'vampire hunter (slayer)', 'sword fight', 'revenge', 'tragic hero', 'one man army', 'martial arts master', 'scientist', 'super power', 'blade', 'taunting', 'secret headquarters', 'escapade', 'deadly', 'master warrior', 'urban gothic', 'good versus evil']",en,Blade,블레이드,18,158.083,['United States of America'],1998-08-21,"['Pусский', 'English']",6.8,5778
"['Action', 'Horror', 'Science Fiction']","['martial arts', 'loss of loved one', 'vampire', 'fbi', 'superhero', 'supernatural', 'fistfight', 'based on comic', 'vampire hunter (slayer)', 'martial arts master', 'motorcycle', 'katana sword', 'blade', 'super villain', 'urban gothic', 'good versus evil', 'sarcastic']",en,Blade: Trinity,블레이드 III,18,55.131,['United States of America'],2004-12-08,"['Esperanto', 'English']",5.857,3741
"['Action', 'Crime', 'Thriller']",['martial arts'],cn,殺破狼2,살파랑 2: 운명의 시간,,21.538,"['China', 'Hong Kong']",2015-06-18,"['한국어/조선말', '普通话', 'ภาษาไทย', 'English', '广州话 / 廣州話']",6.861,229
"['Adventure', 'Action', 'Thriller']","['video game', 'spy', 'bahamas', 'stealing', 'scuba diving', 'scuba', 'british secret service']",en,Never Say Never Again,007 네버 세이 네버 어게인,15,27.44,"['United Kingdom', 'United States of America']",1983-10-07,"['English', 'Français', 'العربية', 'Español']",6.069,1382
"['Drama', 'History', 'Romance']","['infidelity', 'versailles', 'king louis xv of france', 'romance', 'countess', 'mistress', 'royal court', '18th century', 'king of france', 'convent']",fr,Jeanne du Barry,잔 뒤 바리,15,43.672,"['Belgium', 'France', 'Russia', 'Saudi Arabia', 'United States of America']",2023-05-16,['Français'],6.995,401
"['Comedy', 'Horror', 'Science Fiction']","['spacecraft', 'small town', 'sheriff', 'bounty hunter', 'sibling relationship', 'cat', 'barn', 'toilet', 'kansas, usa', 'alien', 'creature', 'explosion', 'alien invasion', 'family', 'exploding house', 'brother sister\xa0', 'alien fugitive', 'alien creature']",en,Critters,크리터스,,30.674,"['United Kingdom', 'United States of America']",1986-04-11,['English'],6.364,905
"['Comedy', 'Romance']","['telepathy', 'womanizer', 'single father', 'super power', 'teenage daughter', 'misogyny', 'advertising executive', 'woman director', 'female psyche']",en,What Women Want,왓 위민 원트,15,30.273,['United States of America'],2000-12-15,"['English', 'Français']",6.448,3803
['Drama'],"['new york city', 'skinhead', 'bomb', 'psychopath', 'world war ii', 'jewish life', 'synagogue', 'vandalism', 'judaism', 'anti-semitism', 'reporter', 'bomb planting', 'hatred', 'self-loathing', 'nazism']",en,The Believer,빌리버,,25.863,['United States of America'],2001-08-23,"['English', 'עִבְרִית', 'Magyar']",6.876,582
"['Comedy', 'Family', 'Science Fiction']","['astronaut', 'chimpanzee']",en,RocketMan,로켓 맨,,23.968,['United States of America'],1997-10-10,['English'],5.165,124
"['Science Fiction', 'Thriller']","['alcohol', 'paranoia', 'space', 'astronaut', 'zero gravity', 'world war', 'international space station', 'disapproving']",en,I.S.S.,국제정거장,,29.5,['United States of America'],2024-01-19,"['English', 'Pусский']",5.112,98
"['Comedy', 'Drama']","['release from prison', 'bisexuality', 'menage a trois', 'hoodlum', 'anarchic comedy']",fr,Les Valseuses,고환,,31.3,['France'],1974-03-20,['Français'],6.761,417
"['Comedy', 'Drama']","['autism', 'football (soccer)']",de,Wochenendrebellen,,,97.523,['Germany'],2023-09-28,['Deutsch'],7.329,41
"['Thriller', 'Action', 'Crime', 'Drama']","['new york city', 'revenge', 'mysterious woman', 'crime lord']",en,Dead Man Down,퍼펙트,,27.99,['United States of America'],2013-03-08,"['English', 'Français', 'shqip', 'Español']",6.158,1406
"['Family', 'Comedy', 'Adventure', 'Science Fiction']","['video game', 'technology', 'spy', 'games', 'secret agent', 'game', 'virus', 'game developer', 'heroes', 'kids', 'fantasy', 'save the world']",en,Spy Kids: Armageddon,스파이 키드: 아마겟돈,All,36.079,['United States of America'],2023-09-22,['English'],6.189,127
"['Drama', 'Romance']","['paris, france', 'mentor', 'poet', 'biography', 'based on play or musical', 'lgbt', 'woman director', '19th century', 'gay theme']",en,Total Eclipse,토탈 이클립스,18,28.355,"['France', 'Belgium', 'United Kingdom']",1995-11-03,['English'],6.4,513
"['Drama', 'Crime', 'Thriller']","['based on true story', 'family secrets', 'calabria, italy', 'cousin cousin relationship', 'uncle niece relationship', 'criminal organization', 'mob family', 'grandmother granddaughter relationship', ""calabrian 'ndrangheta""]",it,Una femmina,,,21.021,['Italy'],2022-02-17,['Italiano'],5.9,33
"['Action', 'Adventure', 'Thriller']",[],en,Hard Kill,하드 킬,,26.463,['United States of America'],2020-09-04,['English'],4.982,624
"['Documentary', 'Music']","['jazz', 'drug addiction', 'rehabilitation', 'overdose', 'jazz singer or musician', 'biography', 'addiction', 'drug rehabilitation', 'drug overdose', 'addict', 'eating disorder', 'downward spiral']",en,Amy,에이미,18,35.377,['United Kingdom'],2015-07-03,['English'],7.601,1189
"['Comedy', 'Drama']","['sibling relationship', 'autism', 'car garage', 'eccentric']",en,Benny & Joon,베니와 준,,25.977,['United States of America'],1993-04-16,['English'],7.02,733
"['Drama', 'Action', 'Thriller']","['martial arts', 'japan', 'police', 'gangster', 'yakuza', 'organized crime', 'osaka, japan', 'police chase', 'action hero']",en,Black Rain,블랙 레인,18,32.735,['United States of America'],1989-09-22,"['English', '日本語']",6.596,1036
"['Drama', 'History']","['1970s', 'demonstration', 'civil rights', 'british army', 'based on true story', 'northern ireland', 'murder', 'ira (irish republican army)', 'the troubles (north ireland, 1966-98)']",en,Bloody Sunday,블러디 선데이,12,23.425,"['Ireland', 'United Kingdom']",2002-01-16,"['English', 'Gaeilge']",7.271,303
['Animation'],['short film'],en,The Mayfly,,,26.666,['United States of America'],2024-06-08,['English'],0.0,0
"['Romance', 'Drama', 'Comedy']","['friendship', 'based on novel or book', 'love', 'best friend', ""valentine's day"", 'teenage pregnancy', 'friends in love', 'missed opportunity']",en,"Love, Rosie","러브, 로지",15세 이상 관람가,65.786,"['Germany', 'United Kingdom']",2014-10-16,['English'],7.832,6080
['Animation'],[],en,Nate & John,,,25.08,['United States of America'],2024-06-08,['English'],0.0,0
"['Animation', 'Family', 'Action', 'Adventure', 'Drama', 'Fantasy']","['based on video game', 'anime', 'original video animation (ova)', 'based on tv series']",ja,ポケットモンスター ミュウツー! 我ハココニ在リ MEWTWO SAGA,포켓몬스터 스페셜: 뮤츠! 나는 여기에 있다,12,21.195,['Japan'],2001-08-17,['日本語'],6.7,374
"['Comedy', 'Family', 'Animation']",['woodpecker'],en,Woody Woodpecker,우디 우드페커,,45.592,"['Brazil', 'Canada', 'United States of America']",2017-10-05,['English'],6.614,690
"['Romance', 'Action', 'Comedy']","['bank manager', 'wedding', 'bank robbery', 'in-laws']",en,The Out-Laws,범죄의 장인,18,39.27,['United States of America'],2023-07-07,['English'],6.042,639
"['Crime', 'Drama']","['drug smuggling', 'war on drugs', 'drug trafficking', '1970s', 'drug addiction', 'rise and fall']",en,Blow,블로우,,49.771,['United States of America'],2001-04-04,['English'],7.368,4167
"['Mystery', 'Drama', 'Thriller']","['house fire', 'extension ladder', 'last day on job']",en,Dream House,드림 하우스,15,22.942,"['Canada', 'United States of America']",2011-09-29,['English'],6.149,1314
"['Drama', 'Western']","['corruption', 'war veteran', 'coffin', 'gang leader', 'frontier', 'money', 'revenge', 'murder', 'extortion', 'mute', 'oil', 'gang', 'shootout', 'undertaker', 'train', 'one man army', 'criminal', 'wild west', 'rape and revenge', '19th century', 'vengeance', 'payback']",da,The Salvation,웨스턴 리벤지,,30.898,"['Denmark', 'South Africa', 'United Kingdom']",2014-05-22,"['Dansk', 'English']",6.479,826
"['Action', 'Thriller', 'Comedy', 'Crime']","['dying and death', 'new love', 'hero', 'prostitute', 'baby', 'chase', 'ball', 'shootout', 'hobo']",en,Shoot 'Em Up,거침없이 쏴라! 슛 뎀 업,,28.462,['United States of America'],2007-07-26,"['English', 'Italiano']",6.467,1807
"['Crime', 'Drama', 'Thriller']","['hotel', 'farm', 'hitman', 'illinois', 'great depression', 'road trip', 'based on comic', 'revenge', 'organized crime', 'mafia', 'bank robbery', 'based on graphic novel', 'homework', 'learning to drive', 'spoiled son', 'scarred face', 'liberty half dollar', 'lake michigan', '1930s']",en,Road to Perdition,로드 투 퍼디션,15,27.258,['United States of America'],2002-07-12,['English'],7.352,3514
"['Drama', 'Romance']","['adultery', 'infidelity', 'career', 'jealousy', 'husband wife relationship', 'based on novel or book', 'marriage crisis', 'american dream', 'housewife', 'connecticut', 'suburbia', 'free spirit', 'unhappiness', 'getaway', 'aspiring actor', '1950s', 'unhappy marriage', 'feeling trapped', 'bleak']",en,Revolutionary Road,레볼루셔너리 로드,18,38.272,"['United Kingdom', 'United States of America']",2008-12-19,['English'],6.986,3698
['Comedy'],"['cave', 'kiss', 'babysitter', 'found footage']",fr,Babysitting 2,베이비시팅 2,,25.448,['France'],2015-12-02,['Français'],6.3,1309
"['Animation', 'Mystery', 'Fantasy', 'Horror']","['gore', 'survival', 'schoolgirl', 'supernatural creature', 'dark fantasy', 'anime']",ja,アムリタの饗宴,암리타의 향연,,37.24,['Japan'],2023-05-26,['日本語'],6.0,1
"['Science Fiction', 'Adventure', 'Action']","['coma', 'architect', 'death', 'accident', 'virtual world']",ru,Кома,코마,15세이상관람가,26.766,['Russia'],2020-01-01,['Pусский'],6.399,513
"['Thriller', 'Mystery', 'Romance']","['amnesia', 'sigmund freud', 'insane asylum', 'psychologist', 'black and white', 'freud', 'freudian']",en,Spellbound,스펠바운드,,29.149,['United States of America'],1945-11-08,['English'],7.415,848
"['Drama', 'Thriller', 'Mystery']","['based on novel or book', 'repayment', 'detective', 'passenger', 'investigation', 'orient express', 'snow', 'whodunit', 'train', 'murder mystery', '1930s']",en,Murder on the Orient Express,오리엔트 특급 살인,,31.699,['United Kingdom'],1974-11-22,"['svenska', 'English', 'Français', 'Deutsch', 'Türkçe', 'Italiano']",7.156,1347
"['Comedy', 'Drama']","['college', 'zero to hero', 'partying', 'attorney']",en,The Re-Education of Molly Singer,,,50.347,['United States of America'],2023-09-29,['English'],6.083,30
"['Drama', 'Comedy']","['friendship', 'miami, florida', 'dark comedy', 'female friendship', 'friends', 'drugs', 'drinking', 'male stripper', 'fiancé fiancée relationship', 'aftercreditsstinger', 'duringcreditsstinger', 'political candidate', 'accident', 'college friends', 'bachelorette party', 'comedy of errors']",en,Rough Night,레이디스 나잇,,41.92,['United States of America'],2017-06-15,['English'],5.691,1946
"['Comedy', 'Romance', 'Animation', 'Fantasy']","['based on novel or book', 'theater play', 'kyoto, japan', 'anime', 'binge drinking', 'book fair', 'night festival']",ja,夜は短し歩けよ乙女,밤은 짧아 걸어 아가씨야,,22.903,['Japan'],2017-04-07,['日本語'],7.429,198
"['Crime', 'Horror', 'Mystery']","['high school', 'small town', 'riddle', 'killing', 'halloween', 'house party', 'serial killer', 'school', 'slasher', 'whodunit', 'killing spree', 'phone', 'tabloid', 'news reporter', 'self-referential', 'crime spree', 'halloween costume', 'young adult', 'teenager', 'reminiscent']",en,Scream,스크림,18,124.418,['United States of America'],1996-12-20,['English'],7.423,6676
"['Horror', 'Mystery']","['mask', 'college', 'campus', 'sequel', 'slaughter', 'serial killer', 'slasher', 'university', 'self-referential', 'copycat killer', 'approving']",en,Scream 2,스크림 2,18,135.059,['United States of America'],1997-12-12,['English'],6.493,3988
"['Horror', 'Mystery']","['mask', 'isolation', 'movie business', 'ex-cop', 'serial killer', 'reporter', 'slasher', 'hollywood', 'self-referential', 'phone call', 'annual phone call']",en,Scream 3,스크림 3,18,37.089,['United States of America'],2000-02-04,['English'],5.995,3427
"['Animation', 'Family', 'Adventure', 'Comedy']","['friendship', 'spain', 'madrid, spain', 'europe', 'anthropomorphism', 'remake', 'bull', ""based on children's book"", 'capture', 'adoring', 'enthusiastic', 'excited']",en,Ferdinand,페르디난드,,55.135,['United States of America'],2017-12-09,['English'],7.213,2748
"['Comedy', 'Drama', 'Horror', 'Thriller']","['rape', 'sexual abuse', 'marriage crisis', 'psychopath', 'necrophilia', 'married couple', 'longing', 'knife', 'sodomy', 'sexual violence', 'sexual harassment']",ja,ビジターQ,비지터 Q,,48.102,['Japan'],2001-03-17,['日本語'],6.408,477
"['Action', 'Crime']","['police', 'pickpocket', 'chase', 'joker', 'psychopath', 'superhero', 'nightclub', 'gang leader', 'based on comic', 'breaking the fourth wall', 'betrayal', 'vigilante', 'mobster', 'organized crime', 'shootout', 'female protagonist', 'orphan', 'criminal', 'police officer', 'police detective', 'spin off', 'hyena', 'held at gunpoint', 'henchman', 'exploding body', 'death of family', 'crime family', 'female police officer', 'nightclub owner', 'crime lord', 'woman director', 'hand to hand combat', 'vigilantism', 'suspended cop', 'murder of family', 'dc extended universe (dceu)', 'dumped by boyfriend', 'loss of family', 'supernatural power', 'female antihero', 'vigilantes', 'betrayal of trust', 'gotham city', 'vigilante justice', 'jailbreak', 'suspended from job']",en,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),버즈 오브 프레이: 할리 퀸의 황홀한 해방,15,64.095,['United States of America'],2020-02-05,['English'],6.926,10018
"['Fantasy', 'Comedy', 'Family']","['age difference', 'midlife crisis', 'suppressed past', 'changing the past or future']",en,The Kid,키드,,40.949,['United States of America'],2000-07-07,['English'],6.688,955
"['Science Fiction', 'Horror', 'Thriller']","['suicide', 'sibling relationship', 'brother', 'supernatural', 'cult', 'childhood trauma', 'time loop', 'resolution', 'resolution collection', 'the endless', 'time manipulation']",en,The Endless,타임루프: 벗어날 수 없는,,29.771,['United States of America'],2017-11-05,['English'],6.325,1035
"['Action', 'Comedy', 'Animation']","['martial arts', 'kidnapping', 'ranma']",ja,らんま½ 劇場版 決戦桃幻郷!花嫁を奪りもどせ!!,란마 ½ 극장판: 결정 도환향! 신부를 되찾아라!!,,27.229,['Japan'],1992-08-02,['日本語'],8.03,118
"['Comedy', 'Drama']","['sexuality', 'group sex', 'erotic movie']",en,The Party at Kitty and Stud's,,,27.76,['United States of America'],1970-02-10,['English'],3.7,64
['Comedy'],"['ballet dancer', 'parody', 'sequel', 'spoof', 'horror spoof', 'demonic possession', 'paranormal activity', 'aftercreditsstinger', 'duringcreditsstinger', 'horror parody']",en,Scary Movie 5,무서운 영화 5,19,51.946,['United States of America'],2013-04-11,['English'],4.806,2712
"['Thriller', 'Horror']","['new york city', 'apartment building']",en,The Super,숨바꼭질,18,30.394,['United States of America'],2018-11-08,['English'],5.1,142
['Drama'],"['cross dressing', 'sexual deviants', 'gay theme']",sv,Tabu,,,39.547,['Sweden'],1977-01-28,['svenska'],5.0,4
"['Action', 'Drama', 'Thriller']","['airplane', 'pilot', 'emergency landing', 'flight', 'airplane hijacking', 'aviation', 'terrorism', 'hijack', 'flight attendant', 'microbiology', 'bio terrorism', 'enclosed space']",ko,비상선언,비상선언,12,25.112,['South Korea'],2022-08-03,"['English', '日本語', '한국어/조선말']",7.5,321
"['Adventure', 'Horror', 'Action']",['crocodile'],en,Primeval,프라이미벌,,26.432,['United States of America'],2007-01-12,"['English', 'Français', 'Kiswahili', 'Español']",6.034,379
"['Drama', 'Romance']","['suicide', 'fascism', 'eroticism', 'aristocrat', 'illegitimate son', 'turn of the century']",it,L'innocente,순수한 사람들,,29.363,"['France', 'Italy']",1976-05-18,['Italiano'],6.8,103
"['Comedy', 'Drama', 'Family']","['japan', 'loser', 'road trip', 'travel', 'disappearance', 'summer', 'hitchhike']",ja,菊次郎の夏,기쿠지로의 여름,All,24.647,['Japan'],1999-06-05,['日本語'],7.487,493
"['Comedy', 'Romance']","['spain', 'nightclub', 'ibiza', 'best friend', 'american', 'dj']",en,Ibiza,바르셀로나 이비자 DJ,,45.932,['United States of America'],2018-05-25,['English'],5.713,1153
"['Action', 'Thriller']","['central intelligence agency (cia)', 'based on novel or book', 'hitman', 'kidnapping', 'agent', 'rogue agent', 'hunted', 'ex-cia agent']",en,The Gray Man,그레이 맨,15,51.912,['United States of America'],2022-07-13,"['Český', 'English', 'Français', 'Deutsch', 'ภาษาไทย']",6.964,3447
"['Thriller', 'Drama', 'Action', 'Crime']","['sheriff', 'kentucky', 'woods', 'survival', 'murder', 'meth lab', 'woman director']",en,Rust Creek,생존: 러스트 크릭,,33.738,['United States of America'],2019-01-04,['English'],6.361,288
"['Action', 'Fantasy', 'War']","['monster', 'based on novel or book', 'mythological beast', 'high fantasy', 'physical immortality', 'chinese mythology']",zh,封神第一部：朝歌风云,봉신연의: 조가풍운,12,236.997,['China'],2023-07-20,['普通话'],7.066,271
"['Crime', 'Drama', 'Thriller']","['detective', 'rocket launcher', 'retirement', 'traffic jam', 'gang', 'los angeles, california', 'divorce', 'anger', 'inequality', 'road rage', 'urban decay', 'laid off', 'disturbed', 'unassuming', 'price gouging']",en,Falling Down,폴링 다운,18,41.577,"['France', 'United States of America']",1993-02-26,"['English', 'Español', '한국어/조선말']",7.386,3516
"['Horror', 'Thriller']","['high school', 'gallows', 'tragedy', 'hanging', 'found footage', 'stage production']",en,The Gallows,갤로우즈,,28.345,['United States of America'],2015-07-09,['English'],4.953,903
"['Action', 'Comedy', 'Romance']","['pirate gang', 'ex fiancé', 'philippines', 'wedding', 'hostage situation', 'baseball player', 'perfectionist', 'fiancé fiancée relationship', 'divorced parents', 'family problems', 'past relationship', 'self-sabotage', 'imminent wedding', 'arguing couple', 'beach wedding', 'peace corps', 'destination wedding', 'island resort', 'private island', 'sea pirates']",en,Shotgun Wedding,샷건 웨딩,15,69.105,['United States of America'],2022-12-28,['English'],6.334,1106
"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']","['friendship', 'magic', 'kingdom', 'fairy tale', 'fairy', 'prince', 'villain', 'enchantment', 'betrayal', 'curse', 'kindness', 'protector', 'childhood friends', 'good becoming evil', 'raven', 'dark fantasy', 'based on fairy tale', 'retelling', 'literary adaptation', 'true love', 'wings', 'sleeping spell', 'dark forest', 'live action remake', 'creatures', 'cursed princess', 'fairies']",en,Maleficent,말레피센트,12,74.457,['United States of America'],2014-05-28,['English'],7.092,12823
"['Drama', 'Romance']","['based on novel or book', 'england', 'bachelor', 'family relationships', 'suitor', 'prejudice', 'period drama', 'pride', '18th century', 'opposites attract', 'gentleman', 'georgian or regency era', '1790s', 'sisters', 'romantic']",en,Pride & Prejudice,오만과 편견,12,67.415,"['France', 'United Kingdom', 'United States of America']",2005-09-16,['English'],8.079,7806
