genres,keywords,original_language,original_title,korean_title,kr_rating,popularity,production_countries,release_date,spoken_languages,vote_average,vote_count
"['Drama', 'Comedy', 'Music']","['dancing', 'friendship', 'dream', 'dancing class', 'northern england', ""workers' quarter"", 'strike', 'small person', 'homophobia', 'hope', 'mentor', 'sadness', 'socialism', 'youngster', 'letter', 'ballet dancer', 'street riots', 'coming of age', 'ballet', 'young boy', 'cross dressing', 'crying', 'single father', 'audition', 'dance class', 'retrospective', 'lgbt', 'revolt', 'ballet school', 'emotional vulnerability', 'helping children', 'smart kid', 'street kid', 'dance teacher', '1980s', 'miners strike', 'father son relationship', '80s throwback', 'ballet dancing', 'gay theme', 'late 20th century', 'teen playing kid', 'ya', 'generational divide']",en,Billy Elliot,빌리 엘리어트,12,43.829,"['France', 'United Kingdom', 'United States of America']",2000-09-28,['English'],7.593,3712
['Comedy'],"['italy', 'crush', 'horny', 'hot girl']",it,L'amica di mia madre,,,36.745,['Italy'],1975-03-05,['Italiano'],4.6,7
"['Mystery', 'Thriller']","['drug dealer', 'amnesia', 'insulin', 'tattoo', 'waitress', 'insurance salesman', 'motel', 'manipulation', 'flashback', 'confusion', 'revenge', 'murder', 'memory loss', 'psychological thriller', 'whodunit', 'los angeles, california', 'polaroid', 'based on short story', 'nonlinear timeline', 'individuality', 'phone call', 'neo-noir', 'reverse chronology']",en,Memento,메멘토,15,53.235,['United States of America'],2000-10-11,['English'],8.183,14435
"['Science Fiction', 'Drama', 'Thriller']","['android', 'flying car', 'bounty hunter', 'artificial intelligence (a.i.)', 'genetics', 'based on novel or book', 'dystopia', 'futuristic', 'fugitive', 'cyberpunk', 'los angeles, california', 'electronic music score', 'alcoholic', 'tech noir', 'neo-noir', 'calm', 'blade runner', '2010s']",en,Blade Runner,블레이드 러너,15,63.843,"['United States of America', 'Hong Kong', 'United Kingdom']",1982-06-25,"['English', 'Deutsch', '广州话 / 廣州話', '日本語', 'Magyar']",7.937,13396
"['Drama', 'Adventure', 'Action', 'History']","['martial arts', 'kung fu', 'right and justice', 'countryside', 'loss of loved one', 'patriot', 'wuxia', 'warring states period', '3rd century bc']",zh,英雄,영웅,12,33.159,"['China', 'Hong Kong', 'Australia']",2002-07-22,['普通话'],7.5,2166
"['Drama', 'Action']","['martial arts', 'kung fu', 'wu shu', '19th century', 'huang feihong', 'biographical']",zh,黄飞鸿之英雄有梦,라이즈 오브 더 레전드: 황비홍,,25.631,"['China', 'Hong Kong']",2014-11-20,"['广州话 / 廣州話', '普通话']",6.2,162
"['Adventure', 'Animation', 'Fantasy']","['future', 'airplane', 'saving the world', 'human vs nature', 'fungus spores   ', 'post-apocalyptic future', 'giant insect', 'toxic', 'based on manga', 'ecology', 'anime']",ja,風の谷のナウシカ,바람계곡의 나우시카,ALL,48.626,['Japan'],1984-03-11,['日本語'],7.941,3416
"['Drama', 'Thriller', 'Horror']","['cataclysm', 'diving', 'red sea', 'primal fear', 'nightmare', 'panic', 'scuba diving', 'shark', 'scuba']",en,Open Water,오픈 워터,,30.013,['United States of America'],2003-10-26,['English'],5.534,1023
"['Comedy', 'Romance']","['married couple', 'florist', 'kiss', 'romantic comedy', 'single', 'los angeles, california', ""valentine's day"", 'multiple storylines', 'aftercreditsstinger', 'duringcreditsstinger']",en,Valentine's Day,발렌타인 데이,15,28.093,['United States of America'],2010-02-10,['English'],5.914,2970
"['Action', 'Comedy', 'Crime']","['showdown', 'drug smuggling', 'undercover', 'cocaine', 'strip club', 'gunfight', 'mansion', 'los angeles, california', 'foot chase', 'art gallery', 'detroit, michigan', 'warehouse', 'childhood friends', 'murder investigation', 'beverly hills', 'buddy cop', 'buddy comedy', 'country club', 'maverick cop', 'damsel in distress', 'bar fight', 'bearer bonds', 'food delivery']",en,Beverly Hills Cop,비버리 힐스 캅,15,45.295,['United States of America'],1984-12-05,['English'],7.188,3877
